IDENTIFIERS,,,,,TRIAD VARIABLE,INDIVIDUAL I.V.s: P1,,,INDIVIDUAL I.V.: P2,DYAD I.V.s: SYMMETRICAL,,,DYAD I.V.: ASSYMETRICAL,D.V.s: PRISONER'S DILEMMA PLAY,,D.V.s: WARMTH & COMPETENCE RATINGS,,,
105,18,AC,LC,92196758,1,0.58,-0.71,-0.41,0.70,-0.04,0.75,1,0.28,1,1,0.31,-0.15,0.20,0.23
106,18,CA,CL,92163241,1,1.17,-0.18,-0.17,0.91,-0.04,0.75,1,0.00,1,1,0.20,0.23,0.31,-0.15
103,18,AB,LR,92196758,1,0.58,-0.71,-0.41,0.07,-0.57,0.86,1,0.83,1,0,0.36,0.34,,
104,18,BA,RL,13222577,1,-1.19,-0.05,0.56,0.91,-0.57,0.86,1,1.11,0,1,,,0.36,0.34
108,18,CB,CR,92163241,1,1.17,-0.18,-0.17,0.07,-1.63,0.81,1,0.28,1,1,0.20,0.07,0.95,0.07
107,18,BC,RC,13222577,1,-1.19,-0.05,0.56,0.70,-1.63,0.81,1,0.55,1,1,0.95,0.07,0.20,0.07
113,19,BC,LC,53374349,0,0.30,0.77,-0.50,-0.95,-1.19,0.66,0,0.00,1,1,1.27,1.16,-1.72,-0.64
114,19,CB,CL,13243039,0,1.13,1.39,1.29,0.26,-1.19,0.66,0,0.00,1,1,-1.72,-0.64,1.27,1.16
110,19,BA,LR,53374349,0,0.30,0.77,-0.50,0.40,-0.92,0.73,0,0.00,1,0,1.27,1.16,-0.49,-2.05
109,19,AB,RL,65171894,0,0.37,0.74,-0.66,0.26,-0.92,0.73,0,0.00,0,1,-0.49,-2.05,1.27,1.16
112,19,CA,CR,13243039,0,1.13,1.39,1.29,0.40,-0.21,0.71,0,0.00,1,0,-0.44,0.45,-2.73,-2.48
111,19,AC,RC,65171894,0,0.37,0.74,-0.66,-0.95,-0.21,0.71,0,0.00,0,1,-2.73,-2.48,-0.44,0.45
115,20,AB,LC,34112504,1,-1.04,0.60,1.05,-0.77,-1.55,0.52,1,0.00,0,1,-0.07,-0.26,-0.44,-0.37
116,20,BA,CL,53399898,1,-1.05,1.00,-0.41,0.70,-1.55,0.52,1,0.24,1,0,-0.44,-0.37,-0.07,-0.26
117,20,AC,LR,34112504,1,-1.04,0.60,1.05,-0.88,-0.83,0.91,1,0.00,0,1,-2.25,0.34,1.27,1.10
118,20,CA,RL,13255672,1,1.87,-0.05,0.56,0.70,-0.83,0.91,1,1.21,1,0,1.27,1.10,-2.25,0.34
119,20,BC,CR,53399898,1,-1.05,1.00,-0.41,-0.88,0.59,0.55,1,0.00,1,1,-0.76,-1.23,0.95,1.16
120,20,CB,RC,13255672,1,1.87,-0.05,0.56,-0.77,0.59,0.55,1,0.24,1,1,0.95,1.16,-0.76,-1.23
124,21,CA,LC,92147441,1,-1.72,-1.37,1.05,-0.25,-0.92,0.84,0,0.00,0,1,0.15,1.16,0.31,-2.81
123,21,AC,CL,13244446,1,-1.21,0.60,-1.63,-0.67,-0.92,0.84,0,0.00,1,0,0.31,-2.81,0.15,1.16
126,21,CB,LR,92147441,1,-1.72,-1.37,1.05,1.54,0.67,0.83,0,0.00,0,0,-1.08,-0.69,-1.67,-2.21
125,21,BC,RL,92133397,1,2.57,-0.18,-1.15,-0.67,0.67,0.83,0,0.00,0,0,-1.67,-2.21,-1.08,-0.69
121,21,AB,CR,13244446,1,-1.21,0.60,-1.63,1.54,0.94,0.85,0,1.22,1,1,0.84,-0.37,-0.39,-1.45
122,21,BA,RC,92133397,1,2.57,-0.18,-1.15,-0.25,0.94,0.85,0,0.00,1,1,-0.39,-1.45,0.84,-0.37
132,22,CB,LC,92128954,1,-0.96,-1.89,-1.63,-0.35,-1.63,0.92,0,1.09,1,0,0.41,0.78,-1.61,-1.56
131,22,BC,CL,92121417,1,-1.38,1.39,1.05,-0.51,-1.63,0.92,0,0.73,0,1,-1.61,-1.56,0.41,0.78
130,22,CA,LR,92128954,1,-0.96,-1.89,-1.63,2.28,-1.55,0.88,0,0.00,1,0,-1.29,-1.62,-0.39,-1.13
129,22,AC,RL,92189959,1,0.20,-1.10,-0.17,-0.51,-1.55,0.88,0,0.18,0,1,-0.39,-1.13,-1.29,-1.62
128,22,BA,CR,92121417,1,-1.38,1.39,1.05,2.28,2.27,0.85,1,0.36,0,0,-0.76,-1.29,-1.72,-1.51
127,22,AB,RC,92189959,1,0.20,-1.10,-0.17,-0.35,2.27,0.85,1,0.18,0,0,-1.72,-1.51,-0.76,-1.29
136,23,CA,LC,92152093,1,-0.07,-0.05,0.32,1.54,-1.63,0.81,0,0.28,0,0,0.73,0.56,-1.24,-0.04
135,23,AC,CL,92117583,1,-0.20,-0.84,-1.15,-0.14,-1.63,0.81,0,0.28,0,0,-1.24,-0.04,0.73,0.56
138,23,CB,LR,92152093,1,-0.07,-0.05,0.32,-0.56,1.47,0.90,0,1.13,0,1,0.89,1.16,1.00,0.61
137,23,BC,RL,92120173,1,-0.97,-1.23,0.07,-0.14,1.47,0.90,0,0.56,1,0,1.00,0.61,0.89,1.16
133,23,AB,CR,92117583,1,-0.20,-0.84,-1.15,-0.56,-1.55,0.83,0,0.28,1,1,0.15,-1.02,0.52,0.56
134,23,BA,RC,92120173,1,-0.97,-1.23,0.07,1.54,-1.55,0.83,0,0.28,1,1,0.52,0.56,0.15,-1.02
141,24,AC,LC,92180427,1,-0.35,0.08,1.29,0.07,-0.12,0.82,0,0.20,0,1,,,-0.17,1.16
142,24,CA,CL,92160009,1,0.65,-0.84,0.32,-0.46,-0.12,0.82,0,0.40,1,0,-0.17,1.16,,
139,24,AB,LR,92180427,1,-0.35,0.08,1.29,-1.61,0.14,0.82,0,0.00,0,,-0.97,-0.85,0.09,0.67
140,24,BA,RL,92187327,1,-1.16,-0.71,-0.90,-0.46,0.14,0.82,0,0.80,,0,0.09,0.67,-0.97,-0.85
144,24,CB,CR,92160009,1,0.65,-0.84,0.32,-1.61,2.27,0.95,0,0.20,1,,-1.35,1.16,-1.08,0.61
143,24,BC,RC,92187327,1,-1.16,-0.71,-0.90,0.07,2.27,0.95,0,0.20,,1,-1.08,0.61,-1.35,1.16
146,25,BA,LC,71335746,0,0.03,-1.63,0.32,0.40,-0.75,0.85,0,0.00,1,1,1.27,1.16,0.73,0.40
145,25,AB,CL,71313767,0,-1.23,2.97,0.80,0.94,-0.75,0.85,0,0.00,1,1,0.73,0.40,1.27,1.16
149,25,BC,LR,71335746,0,0.03,-1.63,0.32,2.15,0.32,0.85,0,0.23,1,1,1.27,1.16,0.68,0.56
150,25,CB,RL,71381980,0,-0.49,-0.05,-1.88,0.94,0.32,0.85,0,0.23,1,1,0.68,0.56,1.27,1.16
147,25,AC,CR,71313767,0,-1.23,2.97,0.80,2.15,-0.39,0.75,1,0.70,1,1,0.79,0.50,0.95,1.16
148,25,CA,RC,71381980,0,-0.49,-0.05,-1.88,0.40,-0.39,0.75,1,0.23,1,1,0.95,1.16,0.79,0.50
151,26,AB,LC,92111948,1,0.76,-0.05,-1.15,-1.08,-0.30,0.70,1,0.76,1,0,-0.60,-0.69,0.57,-1.13
152,26,BA,CL,13247593,1,0.10,-1.10,0.07,-1.19,-0.30,0.70,1,0.19,0,1,0.57,-1.13,-0.60,-0.69
153,26,AC,LR,92111948,1,0.76,-0.05,-1.15,-1.40,-0.30,0.89,0,0.00,1,0,-0.49,-0.64,-0.12,-0.15
154,26,CA,RL,92115609,1,-0.47,-0.97,0.32,-1.19,-0.30,0.89,0,0.19,0,1,-0.12,-0.15,-0.49,-0.64
155,26,BC,CR,13247593,1,0.10,-1.10,0.07,-1.40,-0.66,0.88,1,0.57,0,0,-0.01,-0.80,0.79,0.83
156,26,CB,RC,92115609,1,-0.47,-0.97,0.32,-1.08,-0.66,0.88,1,0.57,0,0,0.79,0.83,-0.01,-0.80
157,27,AB,LC,92134033,1,-0.80,-0.71,0.07,-0.14,0.59,0.80,0,0.26,0,,-3.11,-0.58,-0.39,-0.31
158,27,BA,CL,92185694,1,-1.04,-0.05,0.80,-0.63,0.59,0.80,0,0.00,,0,-0.39,-0.31,-3.11,-0.58
159,27,AC,LR,92134033,1,-0.80,-0.71,0.07,2.07,0.32,0.90,1,1.03,0,0,-0.07,0.29,1.27,0.40
160,27,CA,RL,92168171,1,-0.90,-0.97,-0.17,-0.63,0.32,0.90,1,1.55,0,0,1.27,0.40,-0.07,0.29
161,27,BC,CR,92185694,1,-1.04,-0.05,0.80,2.07,1.39,0.79,0,0.00,,0,0.73,0.67,1.05,0.50
162,27,CB,RC,92168171,1,-0.90,-0.97,-0.17,-0.14,1.39,0.79,0,1.29,0,,1.05,0.50,0.73,0.67
165,28,AC,LC,92110847,0,-1.21,-0.71,-0.90,-0.14,0.50,0.87,0,1.03,1,1,1.05,0.50,1.27,1.16
166,28,CA,CL,92136725,0,-0.99,-0.71,-1.39,0.34,0.50,0.87,0,0.26,1,1,1.27,1.16,1.05,0.50
163,28,AB,LR,92110847,0,-1.21,-0.71,-0.90,-1.35,-1.37,0.87,0,0.00,1,1,-0.65,0.07,0.79,1.16
164,28,BA,RL,92190954,0,-0.35,-0.58,0.32,0.34,-1.37,0.87,0,0.51,1,1,0.79,1.16,-0.65,0.07
168,28,CB,CR,92136725,0,-0.99,-0.71,-1.39,-1.35,-0.39,0.90,0,0.51,1,1,1.00,1.16,1.05,0.61
167,28,BC,RC,92190954,0,-0.35,-0.58,0.32,-0.14,-0.39,0.90,0,1.55,1,1,1.05,0.61,1.00,1.16
170,29,BA,LC,13270103,0,-0.80,1.00,0.07,1.75,0.05,0.89,1,0.47,0,1,-1.72,-2.48,0.52,0.45
169,29,AB,CL,92128435,0,1.86,0.87,0.32,0.94,0.05,0.89,1,0.47,1,0,0.52,0.45,-1.72,-2.48
173,29,BC,LR,13270103,0,-0.80,1.00,0.07,0.94,-0.48,0.89,1,0.95,0,1,0.15,0.34,-0.49,-1.40
174,29,CB,RL,13268957,0,-0.12,-0.32,0.56,0.94,-0.48,0.89,1,0.47,1,0,-0.49,-1.40,0.15,0.34
171,29,AC,CR,92128435,0,1.86,0.87,0.32,0.94,-0.48,0.82,1,1.18,1,1,0.47,0.61,0.89,-1.56
172,29,CA,RC,13268957,0,-0.12,-0.32,0.56,1.75,-0.48,0.82,1,0.24,1,1,0.89,-1.56,0.47,0.61
180,30,CB,LC,92161281,0,,1.26,0.80,-0.21,-0.83,0.70,0,0.25,0,1,-1.88,-2.27,-0.07,0.23
179,30,BC,CL,76161466,0,-0.77,-0.45,-0.41,-1.15,-0.83,0.70,0,0.25,1,0,-0.07,0.23,-1.88,-2.27
178,30,CA,LR,92161281,0,,1.26,0.80,-0.99,-0.75,0.90,0,0.25,0,1,-0.17,-1.13,-0.60,-0.64
177,30,AC,RL,13239991,0,-0.80,0.60,0.80,-1.15,-0.75,0.90,0,0.00,1,0,-0.60,-0.64,-0.17,-1.13
176,30,BA,CR,76161466,0,-0.77,-0.45,-0.41,-0.99,0.23,0.68,0,0.25,1,1,0.63,0.07,-1.40,0.18
175,30,AB,RC,13239991,0,-0.80,0.60,0.80,-0.21,0.23,0.68,0,0.49,1,1,-1.40,0.18,0.63,0.07
184,31,CA,LC,92163650,0,-0.83,-0.97,0.80,1.52,0.23,0.94,1,0.60,1,0,-0.76,0.07,-0.39,-0.37
183,31,AC,CL,13235903,0,-0.43,1.79,0.07,-0.51,0.23,0.94,1,1.59,0,1,-0.39,-0.37,-0.76,0.07
186,31,CB,LR,92163650,0,-0.83,-0.97,0.80,-0.05,1.92,0.92,0,0.40,1,1,-2.04,-1.78,1.27,1.16
185,31,BC,RL,92189577,0,-1.58,1.00,-0.66,-0.51,1.92,0.92,0,0.00,1,1,1.27,1.16,-2.04,-1.78
181,31,AB,CR,13235903,0,-0.43,1.79,0.07,-0.05,2.01,0.93,1,1.59,0,1,0.41,-0.42,1.27,0.50
182,31,BA,RC,92189577,0,-1.58,1.00,-0.66,1.52,2.01,0.93,1,0.20,1,0,1.27,0.50,0.41,-0.42
187,32,AB,LC,13217442,0,1.83,0.87,-1.88,2.31,-0.48,0.89,0,0.49,1,0,-1.67,-3.03,0.31,-0.64
188,32,BA,CL,92157019,0,-0.77,0.74,0.80,-0.99,-0.48,0.89,0,0.25,0,1,0.31,-0.64,-1.67,-3.03
189,32,AC,LR,13217442,0,1.83,0.87,-1.88,-1.78,0.05,0.90,1,0.99,1,1,0.79,0.88,1.27,1.16
190,32,CA,RL,72185023,0,-1.26,-0.45,-1.88,-0.99,0.05,0.90,1,0.49,1,1,1.27,1.16,0.79,0.88
191,32,BC,CR,92157019,0,-0.77,0.74,0.80,-1.78,-0.57,0.91,0,0.00,0,1,0.84,-0.26,1.27,1.16
192,32,CB,RC,72185023,0,-1.26,-0.45,-1.88,2.31,-0.57,0.91,0,0.74,1,0,1.27,1.16,0.84,-0.26
197,33,BC,LC,13212001,0,0.42,3.23,1.05,-0.99,-1.37,0.84,0,1.22,0,0,1.05,0.88,-1.24,-2.70
198,33,CB,CL,92164493,0,0.95,0.87,0.07,0.26,-1.37,0.84,0,0.61,0,0,-1.24,-2.70,1.05,0.88
194,33,BA,LR,13212001,0,0.42,3.23,1.05,0.42,-0.48,0.91,0,1.62,0,0,0.52,0.02,0.47,0.02
193,33,AB,RL,13245660,0,0.25,0.08,-1.39,0.26,-0.48,0.91,0,0.61,0,0,0.47,0.02,0.52,0.02
196,33,CA,CR,92164493,0,0.95,0.87,0.07,0.42,0.50,0.90,0,0.81,1,0,-0.33,1.16,0.25,0.23
195,33,AC,RC,13245660,0,0.25,0.08,-1.39,-0.99,0.50,0.90,0,0.00,0,1,0.25,0.23,-0.33,1.16
200,34,BA,LC,92164148,0,-0.03,-1.63,-0.90,0.58,-0.21,0.87,0,0.27,1,1,0.79,-0.80,1.27,0.45
199,34,AB,CL,13297258,0,-1.10,1.00,0.56,-0.52,-0.21,0.87,0,0.00,1,1,1.27,0.45,0.79,-0.80
203,34,BC,LR,92164148,0,-0.03,-1.63,-0.90,0.26,0.32,0.85,1,0.27,1,1,1.11,0.88,-0.60,-0.31
204,34,CB,RL,92162559,0,,-0.71,0.07,-0.52,0.32,0.85,1,0.27,1,1,-0.60,-0.31,1.11,0.88
201,34,AC,CR,13297258,0,-1.10,1.00,0.56,0.26,2.01,0.80,1,0.54,1,1,1.16,-0.15,-0.87,-1.83
202,34,CA,RC,92162559,0,,-0.71,0.07,0.58,2.01,0.80,1,0.54,1,1,-0.87,-1.83,1.16,-0.15
205,35,AB,LC,92169276,0,-0.47,-0.05,-0.90,-0.68,1.74,0.77,1,0.36,0,1,-1.29,-2.92,0.47,0.45
206,35,BA,CL,92161767,0,1.83,-0.58,0.07,-1.62,1.74,0.77,1,0.54,1,0,0.47,0.45,-1.29,-2.92
207,35,AC,LR,92169276,0,-0.47,-0.05,-0.90,-0.84,0.23,0.87,1,0.36,1,1,0.73,1.16,-0.17,0.34
208,35,CA,RL,92121603,0,2.21,-1.10,1.05,-1.62,0.23,0.87,1,0.18,1,1,-0.17,0.34,0.73,1.16
209,35,BC,CR,92161767,0,1.83,-0.58,0.07,-0.84,0.41,0.82,1,0.00,1,1,0.25,0.40,-1.03,-0.42
210,35,CB,RC,92121603,0,2.21,-1.10,1.05,-0.68,0.41,0.82,1,0.18,1,1,-1.03,-0.42,0.25,0.40